query_id;precision_at_10;recall_at_10;average_precision
1;0.6;0.21428571428571427;0.23559012488164507
10;0.1;0.125;0.11338491364017353
100;0.3;0.3333333333333333;0.3146306006433828
101;0.5;0.8333333333333334;0.6898148148148148
102;0.2;0.5;0.37181085043988266
103;0.0;0.0;0.036890756302521005
104;0.2;0.4;0.15695460025068964
105;0.3;0.6;0.43095238095238086
106;0.3;0.6;0.2297701624002202
107;0.3;0.42857142857142855;0.27920420420420416
108;0.6;0.8571428571428571;0.8928571428571429
109;0.0;0.0;0.02751576153204439
11;0.2;0.2857142857142857;0.18717642685520014
110;0.0;0.0;0.007934371298694664
111;0.2;0.2857142857142857;0.22749620605013482
112;0.1;0.5;0.3214285714285714
113;0.2;0.5;0.33158986314642125
114;0.2;0.5;0.14257404680085092
115;0.0;0.0;0.02340773883327075
116;0.1;0.2;0.0620704909991727
117;0.0;0.0;0.030416666666666668
118;0.2;0.6666666666666666;0.25555555555555554
119;0.1;1.0;0.2
12;0.2;0.4;0.2209622346552575
120;0.4;0.4444444444444444;0.3861140011021994
121;0.4;0.5714285714285714;0.46118705855547953
122;0.2;0.2222222222222222;0.17919179819343894
123;0.0;0.0;0.036769327467001886
124;0.0;0.0;0.003856478299041263
125;0.4;0.23529411764705882;0.23359421729066518
126;0.2;0.25;0.16102778083225142
127;0.1;0.2;0.14641117145649007
128;0.0;0.0;0.019181991122384272
129;0.4;0.5714285714285714;0.4308710818341637
13;0.0;0.0;0.0029560153699321563
130;0.4;0.8;0.5213755158184319
131;0.2;0.25;0.2591341991341991
132;0.7;0.4666666666666667;0.5923374224753535
133;0.2;0.2857142857142857;0.25826470939252893
134;0.1;0.5;0.18055555555555555
135;0.4;0.5;0.5161931818181817
136;0.2;0.6666666666666666;0.2712765957446808
137;0.2;0.5;0.15330648641471226
138;0.1;0.5;0.13263358778625955
139;0.0;0.0;0.005163495347661336
14;0.2;1.0;0.6666666666666666
140;0.1;0.16666666666666666;0.11084574086617575
141;0.2;0.3333333333333333;0.2172910113866335
142;0.0;0.0;0.0013698630136986301
143;0.1;0.5;0.5625
144;0.5;0.8333333333333334;0.5617492492492492
145;0.4;0.5714285714285714;0.3889520202974194
146;0.1;0.5;0.5666666666666667
147;0.4;0.4;0.2868385817234357
148;0.2;0.3333333333333333;0.21985591588884865
149;0.5;0.45454545454545453;0.39037748186436977
15;0.2;1.0;1.0
150;0.2;1.0;0.5833333333333333
151;0.0;0.0;0.02384760724190006
152;0.1;0.16666666666666666;0.0319345751102523
153;0.3;0.42857142857142855;0.3168870320166074
154;0.2;1.0;0.625
155;0.1;0.16666666666666666;0.2391397685619814
156;0.7;0.5;0.4820219315536859
157;0.5;0.1282051282051282;0.29361677435793937
158;0.2;0.25;0.3026755052228019
159;0.1;0.125;0.05386010554688177
16;0.1;0.3333333333333333;0.23992673992673988
160;0.1;0.2;0.09318423551950018
161;0.3;0.5;0.47941370223978913
162;0.3;0.375;0.3125813094563094
163;0.2;0.6666666666666666;0.2871235721703011
164;0.4;0.5;0.44642857142857145
165;0.2;1.0;0.5
166;0.0;0.0;0.030112502319390264
167;0.2;1.0;0.30952380952380953
168;0.0;0.0;0.027448292304941287
169;0.2;0.5;0.29449133387579707
17;0.1;0.5;0.5277777777777778
170;0.4;0.6666666666666666;0.6079324169530355
171;0.3;1.0;0.6388888888888888
172;0.4;1.0;0.8875
173;0.2;1.0;1.0
174;0.1;0.2;0.04624693663204575
175;0.1;0.2;0.038041685054143654
176;0.1;0.14285714285714285;0.061539563849912264
177;0.3;0.6;0.5088235294117647
178;0.3;0.75;0.41025641025641024
179;0.2;0.5;0.21602918586789555
18;0.1;0.3333333333333333;0.20965433729634522
180;0.3;0.42857142857142855;0.359332634655693
181;0.2;0.4;0.287700795613194
182;0.2;1.0;0.45
183;0.6;0.46153846153846156;0.4403998063509167
184;0.3;0.42857142857142855;0.14393561648277478
185;0.6;0.6666666666666666;0.7657305657305656
186;0.4;0.25;0.16954698488017036
187;0.1;0.16666666666666666;0.11582194248627414
188;0.3;0.2727272727272727;0.32487820195021055
189;0.2;0.2222222222222222;0.1698995267653774
19;0.1;0.1111111111111111;0.0439851706853333
190;0.3;0.6;0.5090300841191728
191;0.3;0.23076923076923078;0.33646925917341786
192;0.3;0.75;0.2696606786427146
193;0.7;0.7777777777777778;0.693416232889917
194;0.3;0.5;0.3289537359659311
195;0.1;0.3333333333333333;0.07738095238095237
196;0.3;0.25;0.10182448552903885
197;0.2;0.6666666666666666;0.4555555555555555
198;0.2;0.5;0.37765251989389914
199;0.0;0.0;0.05575081008794334
2;0.4;0.16666666666666666;0.1719441024317997
20;0.4;0.4444444444444444;0.39589683062509146
200;0.2;0.6666666666666666;0.24783293932230102
201;0.4;0.25;0.3236196273848207
202;0.2;0.14285714285714285;0.13765126002214056
203;0.4;0.2857142857142857;0.2032453216579828
204;0.0;0.0;0.042858909748641476
205;0.0;0.0;0.03678678678678678
206;0.2;0.6666666666666666;0.33478471214320266
207;0.1;0.2;0.08546864334265908
208;0.5;0.8333333333333334;0.5667989417989417
209;0.3;0.25;0.1591427770019023
21;0.2;0.5;0.1679808286951144
210;0.3;0.5;0.3767655607199498
211;0.3;0.2727272727272727;0.21969389239066564
212;0.5;0.35714285714285715;0.4961450675138254
213;0.6;0.5454545454545454;0.6004228837116538
214;0.1;0.25;0.15660019962796606
215;0.0;0.0;0.025252525252525252
216;0.0;0.0;0.002070393374741201
217;0.3;0.2;0.23195215884665277
218;0.2;0.13333333333333333;0.20110313731328525
219;0.0;0.0;0.0346262378462509
22;0.0;0.0;0.001718213058419244
220;0.3;0.15789473684210525;0.2024855068314331
221;0.3;0.16666666666666666;0.2533225189378665
222;0.4;0.4444444444444444;0.4243999540247533
223;0.3;0.75;0.3448879551820728
224;0.2;0.25;0.1917861621392743
225;0.3;0.125;0.08073276157604121
23;0.1;0.03125;0.13547844869534845
24;0.2;0.6666666666666666;0.2660888623231719
25;0.5;0.5555555555555556;0.4950317645786264
26;0.2;0.3333333333333333;0.3837208097050016
27;0.1;0.3333333333333333;0.1797169811320755
28;0.0;0.0;0.0018204365079365079
29;0.4;0.4444444444444444;0.45282942384357106
3;0.4;0.5;0.5892322999581064
30;0.2;0.2857142857142857;0.08982619853852006
31;0.0;0.0;0.0008576329331046312
32;0.1;0.16666666666666666;0.054045669073079235
33;0.3;1.0;0.6388888888888888
34;0.2;0.3333333333333333;0.29785214785214786
35;0.0;0.0;0.02433846623770726
36;0.0;0.0;0.037579957356076756
37;0.2;0.2222222222222222;0.16543812108702174
38;0.0;0.0;0.0618864050990651
39;0.3;0.23076923076923078;0.12717132006267387
4;0.2;1.0;0.6
40;0.0;0.0;0.03324470397330959
41;0.3;1.0;0.8666666666666667
42;0.2;0.4;0.11281609094428971
43;0.4;0.6666666666666666;0.5968599033816425
44;0.0;0.0;0.0025391556879147863
45;0.2;0.16666666666666666;0.1764968561956981
46;0.4;0.26666666666666666;0.3135037245805052
47;0.5;0.35714285714285715;0.354802650820651
48;0.3;0.2727272727272727;0.18205749783724173
49;0.1;0.5;0.20833333333333331
5;0.1;0.25;0.19751602564102563
50;0.1;0.16666666666666666;0.03952275316154414
51;0.3;0.3;0.4383763029180644
52;0.3;0.75;0.31650641025641024
53;0.2;0.2;0.2725752087219554
54;0.1;0.1111111111111111;0.09648344989166228
55;0.3;0.3;0.19675632419344102
56;0.2;0.2;0.18933198090931685
57;0.1;0.07142857142857142;0.07822994175078057
58;0.3;0.3333333333333333;0.13558136458897457
59;0.2;0.5;0.15414892409016068
6;0.1;0.25;0.15008427607579503
60;0.3;0.6;0.3751722605023339
61;0.2;0.4;0.28611367127496157
62;0.0;0.0;0.008431219333937078
63;0.0;0.0;0.004690200264135315
64;0.1;0.5;0.14087301587301587
65;0.5;0.3333333333333333;0.26861747213950005
66;0.1;0.2;0.08455865272938443
67;0.6;0.42857142857142855;0.5126105592102018
68;0.2;0.4;0.15567915619908687
69;0.0;0.0;0.051501607357219883
7;0.2;0.4;0.20120573052964294
70;0.1;0.1;0.10717551743655059
71;0.1;0.125;0.05950271722895562
72;0.1;0.058823529411764705;0.03340982364824563
73;0.5;0.25;0.34128693576841834
74;0.1;0.16666666666666666;0.08950649705491438
75;0.1;0.2;0.05500467776043223
76;0.3;0.42857142857142855;0.2408369708315057
77;0.4;0.6666666666666666;0.4743271221532092
78;0.3;1.0;0.7555555555555555
79;0.1;0.2;0.06571799467568606
8;0.1;0.09090909090909091;0.16558092729191043
80;0.0;0.0;0.008258568311348698
81;0.2;1.0;0.30952380952380953
82;0.3;0.6;0.41368046736093467
83;0.1;0.25;0.07188460061443933
84;0.3;0.2727272727272727;0.365437685911779
85;0.1;0.25;0.043683531606980165
86;0.2;1.0;0.5833333333333333
87;0.0;0.0;0.009595120193936933
88;0.6;1.0;0.6496031746031746
