query_id;precision_at_10;recall_at_10;average_precision
1;0.4;0.14285714285714285;0.21190408903471053
10;0.1;0.125;0.13884281643355892
100;0.3;0.3333333333333333;0.27785633413020416
101;0.5;0.8333333333333334;0.736111111111111
102;0.2;0.5;0.3692002442002442
103;0.0;0.0;0.03241550116550117
104;0.1;0.2;0.17394708717747387
105;0.3;0.6;0.5351307189542484
106;0.3;0.6;0.4633818589025755
107;0.4;0.5714285714285714;0.3562746151092016
108;0.5;0.7142857142857143;0.8388278388278387
109;0.0;0.0;0.04119487908961593
11;0.2;0.2857142857142857;0.1909711751445172
110;0.1;0.25;0.09905388471177944
111;0.3;0.42857142857142855;0.3191609977324263
112;0.1;0.5;0.2785714285714286
113;0.1;0.25;0.12481402342513455
114;0.2;0.5;0.15127638069804533
115;0.1;0.25;0.041008055985173285
116;0.1;0.2;0.05788775718756471
117;0.0;0.0;0.02817460317460317
118;0.2;0.6666666666666666;0.3
119;0.1;1.0;1.0
12;0.2;0.4;0.21955213903743315
120;0.4;0.4444444444444444;0.3612721379448787
121;0.4;0.5714285714285714;0.4658663704716336
122;0.2;0.2222222222222222;0.14204253862638958
123;0.0;0.0;0.06428571428571428
124;0.0;0.0;0.003061293096951155
125;0.3;0.17647058823529413;0.27767713203570366
126;0.2;0.25;0.2229036802519928
127;0.1;0.2;0.08567423022290019
128;0.0;0.0;0.023174603174603174
129;0.4;0.5714285714285714;0.44500747268604407
13;0.0;0.0;0.0029047545737832204
130;0.4;0.8;0.5708037609948438
131;0.2;0.25;0.2818022195196108
132;0.8;0.5333333333333333;0.676914566914567
133;0.3;0.42857142857142855;0.34286551941350707
134;0.1;0.5;0.28448275862068967
135;0.6;0.75;0.6489583333333333
136;0.2;0.6666666666666666;0.4366666666666667
137;0.1;0.25;0.17117011278195488
138;0.1;0.5;0.16203703703703703
139;0.0;0.0;0.009743078344102951
14;0.1;0.5;0.5714285714285714
140;0.2;0.3333333333333333;0.17815173784117885
141;0.2;0.3333333333333333;0.13160616384959314
142;0.0;0.0;0.07142857142857142
143;0.2;1.0;0.6
144;0.3;0.5;0.30953425229741016
145;0.4;0.5714285714285714;0.26911194940014543
146;0.2;1.0;0.6666666666666666
147;0.4;0.4;0.25418496865242945
148;0.2;0.3333333333333333;0.23783508404818507
149;0.4;0.36363636363636365;0.3030200884868048
15;0.2;1.0;1.0
150;0.2;1.0;0.5833333333333333
151;0.0;0.0;0.03149335234439418
152;0.0;0.0;0.011944393194246413
153;0.3;0.42857142857142855;0.31426604523133894
154;0.2;1.0;0.75
155;0.1;0.16666666666666666;0.13391360337312366
156;0.7;0.5;0.49981562964784754
157;0.6;0.15384615384615385;0.3334432086842621
158;0.3;0.375;0.364138485238354
159;0.2;0.25;0.07758406966891375
16;0.2;0.6666666666666666;0.2347222222222222
160;0.1;0.2;0.11956218105284191
161;0.3;0.5;0.5324837896043474
162;0.2;0.25;0.2357408466819222
163;0.2;0.6666666666666666;0.2891414141414141
164;0.4;0.5;0.4269833096829731
165;0.2;1.0;0.5833333333333333
166;0.0;0.0;0.032789427009989616
167;0.2;1.0;0.75
168;0.0;0.0;0.027907884465261514
169;0.2;0.5;0.2563201640093367
17;0.1;0.5;0.27564102564102566
170;0.4;0.6666666666666666;0.5977994227994228
171;0.3;1.0;0.5333333333333333
172;0.4;1.0;0.8875
173;0.2;1.0;1.0
174;0.1;0.2;0.0687678967533777
175;0.0;0.0;0.04162275243367054
176;0.0;0.0;0.04583530249252716
177;0.3;0.6;0.6417748917748918
178;0.2;0.5;0.4708133971291866
179;0.2;0.5;0.3205620855937311
18;0.1;0.3333333333333333;0.19353468617272296
180;0.3;0.42857142857142855;0.3926837401627318
181;0.1;0.2;0.2647216354945824
182;0.2;1.0;0.5833333333333333
183;0.6;0.46153846153846156;0.527313789855362
184;0.3;0.42857142857142855;0.2567785008740338
185;0.6;0.6666666666666666;0.8304954304954305
186;0.3;0.1875;0.16143352363139107
187;0.1;0.16666666666666666;0.13113595329215025
188;0.4;0.36363636363636365;0.46652228281738917
189;0.3;0.3333333333333333;0.16163324906886448
19;0.0;0.0;0.05610879078669898
190;0.3;0.6;0.5380952380952382
191;0.3;0.23076923076923078;0.348384119174633
192;0.3;0.75;0.5077380952380952
193;0.8;0.8888888888888888;0.8217646217646216
194;0.3;0.5;0.235725059254471
195;0.1;0.3333333333333333;0.10499691071980229
196;0.3;0.25;0.15494625282472294
197;0.2;0.6666666666666666;0.6143790849673202
198;0.3;0.75;0.5023866348448687
199;0.1;0.125;0.08380587082998464
2;0.5;0.20833333333333334;0.21273711531771536
20;0.4;0.4444444444444444;0.46139601139601144
200;0.2;0.6666666666666666;0.26904761904761904
201;0.5;0.3125;0.3295310536552577
202;0.3;0.21428571428571427;0.21712068719848948
203;0.3;0.21428571428571427;0.16479808714315344
204;0.0;0.0;0.03934668565604386
205;0.2;1.0;0.75
206;0.2;0.6666666666666666;0.17897970085470086
207;0.1;0.2;0.1805179386691899
208;0.6;1.0;0.6916666666666668
209;0.1;0.08333333333333333;0.13238950017196138
21;0.1;0.25;0.05791847041847042
210;0.2;0.3333333333333333;0.35075831902542726
211;0.2;0.18181818181818182;0.16702898951210765
212;0.6;0.42857142857142855;0.4777331768710233
213;0.5;0.45454545454545453;0.5626122561648877
214;0.1;0.25;0.15620007722194065
215;0.0;0.0;0.04513888888888889
216;0.0;0.0;0.0016207455429497568
217;0.3;0.2;0.28023878348751124
218;0.4;0.26666666666666666;0.2487875601246861
219;0.0;0.0;0.035762949255834314
22;0.0;0.0;0.001557632398753894
220;0.3;0.15789473684210525;0.21825536421624578
221;0.3;0.16666666666666666;0.2506636232529856
222;0.6;0.6666666666666666;0.7249398749398749
223;0.3;0.75;0.5069444444444444
224;0.1;0.125;0.12312991850341698
225;0.3;0.125;0.07604698737207673
23;0.3;0.09375;0.14970821100861045
24;0.2;0.6666666666666666;0.3303030303030303
25;0.6;0.6666666666666666;0.6379397261550124
