query_id;precision_at_10;recall_at_10;average_precision
1;0.5;0.17857142857142858;0.23370177726555683
10;0.2;0.25;0.12212068576758445
100;0.3;0.3333333333333333;0.23577030566047746
101;0.5;0.8333333333333334;0.7466542172424524
102;0.2;0.5;0.4007541478129713
103;0.0;0.0;0.042462211614956245
104;0.1;0.2;0.15625739106066977
105;0.3;0.6;0.44749999999999995
106;0.3;0.6;0.23077639751552792
107;0.3;0.42857142857142855;0.2853929699694554
108;0.7;1.0;0.855952380952381
109;0.0;0.0;0.027387434692655966
11;0.2;0.2857142857142857;0.18683589138134593
110;0.0;0.0;0.009341255111110017
111;0.2;0.2857142857142857;0.23741009249549622
112;0.2;1.0;0.3611111111111111
113;0.2;0.5;0.34542646172393005
114;0.1;0.25;0.13384117725931885
115;0.0;0.0;0.018938250644532476
116;0.1;0.2;0.06549786043449637
117;0.0;0.0;0.04206349206349206
118;0.2;0.6666666666666666;0.22569444444444442
119;0.1;1.0;0.2
12;0.2;0.4;0.3037766830870279
120;0.3;0.3333333333333333;0.3829892146223346
121;0.4;0.5714285714285714;0.47808668922114295
122;0.5;0.5555555555555556;0.36990808679073184
123;0.0;0.0;0.04957160342717258
124;0.0;0.0;0.005974766900954797
125;0.4;0.23529411764705882;0.23694515397748628
126;0.2;0.25;0.15975148453498209
127;0.1;0.2;0.24570507996676222
128;0.0;0.0;0.01655359565807327
129;0.4;0.5714285714285714;0.4119047619047619
13;0.0;0.0;0.002751826576561996
130;0.3;0.6;0.4829711262949086
131;0.4;0.5;0.27879420774157615
132;0.7;0.4666666666666667;0.5928313496008596
133;0.2;0.2857142857142857;0.25724430122926367
134;0.1;0.5;0.13571428571428573
135;0.4;0.5;0.48474264705882353
136;0.2;0.6666666666666666;0.45
137;0.2;0.5;0.170515873015873
138;0.1;0.5;0.17261904761904762
139;0.0;0.0;0.005919096308414685
14;0.2;1.0;0.8333333333333333
140;0.1;0.16666666666666666;0.12360628120121793
141;0.2;0.3333333333333333;0.32886400322841
142;0.0;0.0;0.001692047377326565
143;0.1;0.5;0.5714285714285714
144;0.5;0.8333333333333334;0.600925925925926
145;0.4;0.5714285714285714;0.3906464458299004
146;0.1;0.5;0.5769230769230769
147;0.4;0.4;0.2871549492846913
148;0.2;0.3333333333333333;0.2196752904367227
149;0.6;0.5454545454545454;0.4588484603828858
15;0.2;1.0;1.0
150;0.2;1.0;0.5833333333333333
151;0.0;0.0;0.023056067266666598
152;0.0;0.0;0.04137564159138317
153;0.3;0.42857142857142855;0.3426022892116925
154;0.2;1.0;0.6428571428571428
155;0.3;0.5;0.2784352684887021
156;0.7;0.5;0.5112738417680742
157;0.5;0.1282051282051282;0.28670351453465553
158;0.3;0.375;0.34310684179819206
159;0.1;0.125;0.05507396206555556
16;0.1;0.3333333333333333;0.1904761904761905
160;0.1;0.2;0.13044893894347218
161;0.3;0.5;0.4559855631789595
162;0.4;0.5;0.3419827512593869
163;0.2;0.6666666666666666;0.29227053140096615
164;0.5;0.625;0.47315433749257285
165;0.2;1.0;0.5833333333333333
166;0.1;0.125;0.035966422615074774
167;0.2;1.0;0.30952380952380953
168;0.0;0.0;0.04664786287697982
169;0.2;0.5;0.2957795409718486
17;0.1;0.5;0.5188679245283019
170;0.4;0.6666666666666666;0.6746825396825397
171;0.3;1.0;0.6388888888888888
172;0.4;1.0;0.8875
173;0.2;1.0;1.0
174;0.1;0.2;0.048196493441933386
175;0.1;0.2;0.04237934717263956
176;0.1;0.14285714285714285;0.07755556788084915
177;0.3;0.6;0.6214285714285714
178;0.3;0.75;0.7708333333333334
179;0.2;0.5;0.26127853762546155
18;0.1;0.3333333333333333;0.21230017175320384
180;0.3;0.42857142857142855;0.40244786439165825
181;0.2;0.4;0.2888011216831369
182;0.2;1.0;0.45
183;0.6;0.46153846153846156;0.5502198389379431
184;0.3;0.42857142857142855;0.14695748457857302
185;0.6;0.6666666666666666;0.7583231583231583
186;0.4;0.25;0.15768303883293672
187;0.1;0.16666666666666666;0.13876223199993692
188;0.4;0.36363636363636365;0.30200874069794276
189;0.2;0.2222222222222222;0.1507532511137175
19;0.1;0.1111111111111111;0.043918018877896564
190;0.3;0.6;0.559047619047619
191;0.3;0.23076923076923078;0.3866110382730363
192;0.3;0.75;0.309220644779651
193;0.7;0.7777777777777778;0.7391285669063445
194;0.3;0.5;0.33083496654130695
195;0.1;0.3333333333333333;0.09570707070707073
196;0.3;0.25;0.11503022701043326
197;0.2;0.6666666666666666;0.7333333333333334
198;0.2;0.5;0.38298188298188296
199;0.1;0.125;0.0815251573590768
2;0.4;0.16666666666666666;0.18066256485216278
20;0.4;0.4444444444444444;0.4687800471133804
200;0.2;0.6666666666666666;0.19324970131421745
201;0.4;0.25;0.32168214556952673
202;0.2;0.14285714285714285;0.12146072429339148
203;0.4;0.2857142857142857;0.24270311364311706
204;0.1;0.07142857142857142;0.04704756153118717
205;0.0;0.0;0.037104072398190045
206;0.2;0.6666666666666666;0.3905809362662154
207;0.1;0.2;0.10494451315879887
208;0.5;0.8333333333333334;0.5251322751322751
209;0.3;0.25;0.15876661118541732
21;0.2;0.5;0.15989326765188833
210;0.3;0.5;0.37941211685823745
211;0.3;0.2727272727272727;0.1993053595368668
212;0.5;0.35714285714285715;0.5206842278734297
213;0.6;0.5454545454545454;0.5520475166178777
214;0.1;0.25;0.16588054457619675
215;0.0;0.0;0.027972027972027972
216;0.0;0.0;0.003816793893129771
217;0.3;0.2;0.2778158184404702
218;0.2;0.13333333333333333;0.224816306959182
219;0.0;0.0;0.04164255139269177
22;0.0;0.0;0.0008620689655172414
220;0.3;0.15789473684210525;0.2101401038501817
221;0.3;0.16666666666666666;0.22140590210870367
222;0.4;0.4444444444444444;0.42993313947261314
223;0.2;0.5;0.39583333333333337
224;0.3;0.375;0.21065082431812351
225;0.3;0.125;0.09487601235836977
23;0.2;0.0625;0.1563432236142467
24;0.2;0.6666666666666666;0.2809624911535739
25;0.5;0.5555555555555556;0.5615469067589451
26;0.2;0.3333333333333333;0.3293420467055489
27;0.1;0.3333333333333333;0.3555486186982988
28;0.0;0.0;0.0021714186288202624
29;0.4;0.4444444444444444;0.38923081418748434
3;0.5;0.625;0.6841753585397653
30;0.1;0.14285714285714285;0.08824197526422385
31;0.0;0.0;0.0009871668311944718
32;0.1;0.16666666666666666;0.06454176337267163
33;0.3;1.0;0.6388888888888888
34;0.3;0.5;0.2787037037037037
35;0.0;0.0;0.03402553038475368
36;0.1;0.5;0.08522012578616352
37;0.2;0.2222222222222222;0.18779486245374755
38;0.1;0.1;0.04839756263197849
39;0.2;0.15384615384615385;0.16675468324220438
4;0.2;1.0;0.6111111111111112
40;0.0;0.0;0.03889473357708541
41;0.3;1.0;0.9166666666666666
42;0.2;0.4;0.12159110254557134
43;0.4;0.6666666666666666;0.5267662620603796
44;0.0;0.0;0.0020736815676512406
45;0.1;0.08333333333333333;0.18632614807488201
46;0.5;0.3333333333333333;0.3451366993673747
47;0.6;0.42857142857142855;0.36099214585670764
48;0.3;0.2727272727272727;0.18938992274457886
49;0.1;0.5;0.21929824561403508
5;0.1;0.25;0.18855300105300105
50;0.1;0.16666666666666666;0.03617425736143414
51;0.5;0.5;0.5046891866574187
52;0.3;0.75;0.48333333333333334
53;0.3;0.3;0.31009834528334523
54;0.1;0.1111111111111111;0.08366050432716399
55;0.4;0.4;0.289318084660976
56;0.2;0.2;0.18001021887474095
57;0.1;0.07142857142857142;0.0847633486642433
58;0.2;0.2222222222222222;0.1536091419999466
59;0.2;0.5;0.35754303410553406
6;0.1;0.25;0.15706168831168832
60;0.4;0.8;0.37937234944868525
61;0.2;0.4;0.294622697563874
62;0.0;0.0;0.012029124964378126
63;0.0;0.0;0.0076003835804930005
64;0.1;0.5;0.5714285714285714
65;0.6;0.4;0.3147399008826203
66;0.1;0.2;0.1522027522027522
67;0.6;0.42857142857142855;0.5345613298772929
68;0.2;0.4;0.1569742660853385
69;0.0;0.0;0.05787233158635219
7;0.2;0.4;0.23090464099678032
70;0.1;0.1;0.10842930780986433
71;0.1;0.125;0.057289714505376704
72;0.1;0.058823529411764705;0.09188159404970764
73;0.6;0.3;0.35118459292329085
74;0.1;0.16666666666666666;0.08768595109484273
75;0.1;0.2;0.07342072342072342
76;0.2;0.2857142857142857;0.21002446376282974
77;0.3;0.5;0.536026936026936
78;0.3;1.0;0.7555555555555555
79;0.2;0.4;0.0829030362687723
8;0.1;0.09090909090909091;0.16914976423338882
80;0.0;0.0;0.013587420119215128
81;0.2;1.0;0.3333333333333333
82;0.3;0.6;0.25494553376906315
83;0.1;0.25;0.07496183965838246
84;0.3;0.2727272727272727;0.36419181508656356
85;0.1;0.25;0.05645357907565676
86;0.2;1.0;0.5833333333333333
87;0.0;0.0;0.008327209019703102
88;0.5;0.8333333333333334;0.6422008547008548
89;0.3;0.5;0.31675790159661127
9;0.3;1.0;0.8055555555555555
90;0.3;0.23076923076923078;0.21043538105085233
91;0.4;0.4444444444444444;0.4325714552926169
92;0.7;0.5384615384615384;0.5049760295804409
93;0.1;1.0;0.5
94;0.6;0.5;0.5971604773588529
95;0.2;1.0;0.5833333333333333
96;0.6;0.46153846153846156;0.43492387117444314
97;0.2;0.2;0.18392945891353402
98;0.1;0.2;0.030679101779460677
99;0.3;0.75;0.285016835016835
