preprocessing,k1,b,query_id,precision_at_10,recall_at_10,average_precision
without_stopwords_with_stemming,0.5,0.0,159,0.0,0.0,0.057168344730364244
without_stopwords_with_stemming,0.5,0.0,16,0.1,0.3333333333333333,0.13782928268683942
without_stopwords_with_stemming,0.5,0.0,160,0.1,0.2,0.2208123958231199
without_stopwords_with_stemming,0.5,0.0,161,0.3,0.5,0.4305738576865712
without_stopwords_with_stemming,0.5,0.0,162,0.1,0.125,0.23589405296449573
without_stopwords_with_stemming,0.5,0.0,163,0.2,0.6666666666666666,0.21444444444444444
without_stopwords_with_stemming,0.5,0.0,164,0.5,0.625,0.6146336638394179
without_stopwords_with_stemming,0.5,0.0,165,0.2,1.0,0.45
without_stopwords_with_stemming,0.5,0.0,166,0.0,0.0,0.03447392815714271
without_stopwords_with_stemming,0.5,0.0,167,0.2,1.0,1.0
without_stopwords_with_stemming,0.5,0.0,168,0.0,0.0,0.018788606726149622
without_stopwords_with_stemming,0.5,0.0,169,0.2,0.5,0.21416468321432616
without_stopwords_with_stemming,0.5,0.0,17,0.1,0.5,0.17982456140350878
without_stopwords_with_stemming,0.5,0.0,170,0.4,0.6666666666666666,0.45593126385809307
without_stopwords_with_stemming,0.5,0.0,171,0.3,1.0,0.5555555555555555
without_stopwords_with_stemming,0.5,0.0,172,0.4,1.0,0.6791666666666667
without_stopwords_with_stemming,0.5,0.0,173,0.2,1.0,1.0
without_stopwords_with_stemming,0.5,0.0,174,0.0,0.0,0.03967889037572721
without_stopwords_with_stemming,0.5,0.0,175,0.0,0.0,0.040847941253606086
without_stopwords_with_stemming,0.5,0.0,176,0.0,0.0,0.042660528549460376
without_stopwords_with_stemming,0.5,0.0,177,0.4,0.8,0.649047619047619
without_stopwords_with_stemming,0.5,0.0,178,0.4,1.0,0.5571428571428572
without_stopwords_with_stemming,0.5,0.0,179,0.2,0.5,0.45640380313199097
without_stopwords_with_stemming,0.5,0.0,18,0.1,0.3333333333333333,0.3534932994332327
without_stopwords_with_stemming,0.5,0.0,180,0.3,0.42857142857142855,0.3936932632584807
without_stopwords_with_stemming,0.5,0.0,181,0.1,0.2,0.24663407430040998
